,Testing Data,Predicted Labels
28, خطه عط ادواردو و يرزقك الله ما مشت اليوم و لازم الهلال يتدارك هالشي قبل لا يفوت الفوت ,2
29, علم الجهال وش يعني الهلال واهزم ظروفك وقاتل وانتصر ذكر الناسين بالمجد القديم وابني امجاد تزلزل هالملا ,1
30, الهلال_الفتح عظم الله اجركم دونيس ذبح الهلال خلاص الدوري طار ,0
31, الف مبروك لي جمهور الهلال,1
32, السماح_بالسينما_في_السعوديه للاسف يوجد بيننا قطيع يقوده كل من يرتدي لحيه مصطنعه وثوب قصير وكلمه توديه وكلمه تجيبه مثل ال ,0
33,خذ لابك والسناك وحمل 10 افلام واجلس اتفرج التورنت غني عن الف سينما الحمدلله على نعمه وجوده السماح_بالسينما_في_السعوديه,1
34, داعشي_يقتل_ابن_عمه يغدرون باقرب الناس واجرامهم بالسعوديه فقط ايران في راحه منهم هكذا هم كلاب داعش والقاعده استشهاد_بد ,0
35,قناه الجمال والجميلات حذف_قناه_العربيه_من_الريسيفر,1
36,مدرب مكابر والشلهوب وسلمان والمقلد عطيف وكذلك ادواردو دون المستوى المطلوب كيف سيفوز الهلال ويحافظ على مركزه الاول بفارق نقطتين الهلال,0
37, هجمات_باريس _فرنسا_تطالب_بحشد التاييد الدولي لقتال تنظيم,2
38, تم تعليق_الدراسه_في_الرياض بناا على توجيهات اولياا الامور 1,2
39, السلام عليكم عندي مشكله في الشريحه لا استطيع حفظ الارقام فيها واذا جيت ابحث عن الاسماا تطلع ايقون الاسماا غير جاهزه جوال نوكيا 225,2
40,ليالي الهلال ما مثلك ليييييالي ,1
41,بالشكر تدوم النعم الهلال_هجر ,1
42, دعواتكم ل بريده اطلقت صفارات الانذار واخلاا السكان من منازلهم بريده_تغرق ,0
43, صفا فيسبوك يجمد بالخطا حسابا والسبب داعش عاجل ,2
44, السماح_بالسينما_في_السعوديه الوكاد ان اغلب من تحدث في الموضوع تحدث بسطحيه لسيت بمسغربه من شعب حول العادات الى عبادات ,0
45,ياربيه قاعده اشوف الازرق احسبه الهلال والابيض الفتح وهم العكس واشجع الفتح من الصبح ,2
46, انترنت_السعوديه_ضعيف لا جديد من سيا الى اسوا,0
47, انترنت_السعوديه_ضعيف ما افضل مزود خدمه انترنت في السعوديه ,0
48,3 3 الهلال الفتح هل يستفيد الاهلي من هذه النتيجه ,2
49, الف مبروك للهلال والقادم اجمل بكثيييييير ان شاا الله تعالى الهلال_التعاون,1
50, الميزانيه_السعوديه كل سنه الميزانيه يكون فيها عجز وكل دول العالم في ميزانيتها عجز وين الجديد كفاكم هرطقه الوطن ل ,0
51, كانت 4 فذكرتهم بالبارحه واصبحت 5 فذكرتهم بالدوري ثم 6 وذكرتهم فيما مضى برشلونه_روما ,2
52, فشلتونا الله يفشلكم جماهير الكالتشيو تتبرا من هالنادي و فعايله برشلونه_روما ,0
53,الاول العابد تعلم من الدرس وعاد لتالقه الثاني سالم مازال يعطى الدروس الثالث الفرج يجب ان يعطى الدروس ي دونيس الهلال,2
54, تعليق_الدراسه_في_القصيم تم تعليق الدراسه ببريده والمحافظات التابعه لها,2
55,الله يحفظك ويحميك يا عادل_الجبير مسبب لاطراف كثيره ضيق في التنفس سوريا اليمن الملك_سلمان,1
56, 13 نادي يلعب معاكم الاهلي له سنتين مافيكم اللي يهزمه انتم ماتستحون على وجيهكم دوري ميت وانديه ميته لعنبوكم استرجلو اله ,0
57, الجاليه_الليبراليه بيفرحون بهالتغريده لانهم يؤيدون السماح_بالسينما_في_السعوديه اما ادعياا_السلفيه ,0
58, نظره في نظام رسوم الاراضي رسوم_الاراضي_البيضاا السعوديه ,2
59, 24ساعه و حقل مقطوعه من خدمه الاتصالات_السعوديه,0
60,مبروووك فوووز الهلال عندما تعجز الكلمات عن التعبير الصمت افضل يالبا يالهلال الهلال_هجر,1
61, حرس الثوره الاسلاميه في ايران يصدر بيانا يستنكر فيه اعدام السلطات السعوديه لعالم الدين الشيخ نمر باقر النمر ,0
62, رجال_الحد_الجنوبي مازلت انتظر دور البنوك المحليه في دعم رجال الامن البواسل المرابطين على الحدود ولو باسقاط قليلا من القروض ,1
63, لماذا_يا_خوله_العنزي والله ماهمكم لا دين ولا جنه ونار همكم البنت والعار,0
64, تعليق_الدراسه_في_القصيم ها التعليق ماكثر الا بعد ان كثرت زياره وفودنا التربويه لليابان وكوريا ,2
65, الاهلي_الرائد جنون الاهلي جنننننننهم زيد الصبر عندك زيييييد ,1
66, تعليق_الدراسه_في_القصيم علقو الدراسه يستاهلو كل خير اهل القصيم ,2
67, الهلال_هجر الهلال جحفلي نجم_المباراه ابو سعد بعد هدف جحفلي ,1
68, يييييارب شوي من حظ الهلال,1
69, الف مبرووووك فوز الهلال بكاس ولي العهد والبطوله رقم 57 ,1
70, ناصيف البياوي مدرب الفتح سعيد جدا بالنقطه من امام الهلال اليوم ,1
71, النهائي بدون النصر ماله طعم الهلال_الاهلي ,2
72,تدمير مخزن_سلاح وناقلتي جند للحوثيين الحوثيين اليمن,2
73, ههههههههههه وجهي نحس اول ما دخلت البريك روم الهلال جاب التعادل ,0
74, رفع_اسعار_البنزين_والكهرباا ترا هذا من علامات الساعه ارتفاع الاسعار,2
75, يسعد جوك يا سوووومه الاهلي_الرايد الاهلي ,1
76, مبرووووووووك فووووز الزعيييييم الهلال_التعاون,1
77, يستحق التكريم الوحيد اللي اشوفه بالموقع الى الان عقيل العنزي بريده_تغرق ,1
78,الحمد لله ع التاهل ومبروك لكل هلالي التعاون كان الافضل على مدار الشوطين ولكن الاهم هو الفوز والتاهل الهلال_التعاون,1
79, صور من داخل طوزخورماتو حيث وصلت قطعات من الحشد_الشعبي اللواا 23 قوات بدر ,2
80, بحضور وتشريف ولي_العهد التاريخ يسجل هامه المجد الهلال ,1
81, الهلال_الفتح والله رجال يا ناصر بمعنى الكلمه خلص الكلام فيك يا وحش الحمدلله يارب هذا الهلال ,1
82, انترنت_السعوديه_ضعيف لا لا مالكم حق بصررراحه بس ضعييف الا عللله يرفع الظغط يقطع التكلفه مبالغ فيها بالنسبه للدول الثانيه ,0
83, المفروض يصدرون قرار تعليق_الدراسه_في_الرياض بكره الخميس محد جايهم الشعب سحبها مع الويكند لا طلابهم ولا موظفينهم ,2
84,الهدف الثاني للفتح تسلل واضح وفاضح الثالث من فاول للفتح غير صحيح هارد لكم تعادل الهلال يا ,0
85, الهلال_الفتح يا قاهرهم في اخر اللحظات الهلال لا يعرف الوقوف الا مع صفاره الحكم ,0
86, اتمنى المحللين الاقتصاديين ان يقدموا رايهم في الميزانيه_السعوديه فيما يخص انعكاساتها على حياه الشباب اختيار التخصص الا ,2
87, اهتمام الناس بهالشيا التافه السماح_بالسينما_في_السعوديه والمصيبه صار من التطور والحضاره ,0
88, السماح_بالسينما_في_السعوديه للاسف عندما ترى بعض العقول التي حصرت التقدم والتطور والسعاده بمايصادم الفطره ويخالف احكام ا ,0
89,الوقت راس مالنا الحقيقي وسؤالي هل من يطالبون بالسينمايرضون ان يسجل في صحيفتهم هذه الاوقات بالطبع لا السماح_بالسينما_في_السعوديه,0
90, اليوم الهلال فاز ب خماسيه والمتابعين اكملوا لي الرقم المميز 5555 الف تحيه حب وتقدير لهم الهلال_هجر ,1
91,ب 27 تمريره و من جميع اللاعبين برشلونه يسجل الهدف الثاني تيكي تاكا برشلونه_روما دوري_ابطال_اوروبا ,2
92,واضحه انها قديمه قرب على اللوحه مكتوب stc حقه زمان ,2
93, توقعاتكم للنهائي الهلال_الاهلي,2
94, قبحك الله قولا وعقلا ماذا يرجى من صحوي يطعن في وطنه وملوكه قاسم_يهاجم_الملك_عبدالله,0
95, رفع_اسعار_البنزين_والكهرباا الاهم ان تبقى رايه التوحيد خفاقه وللاوطان في دم كل حر يد سلفت ودين مستحق,1
96, نص ساعه ويعلن التعليق في الرياض تعليق_الدراسه_في_الرياض,2
97, وهل بعد الهلال حب يقال اعجزت المديح مديحا والوصف وصفا يا هامه المجد القديم ياعشق الطفوله ولا تزال الهلال_الاهلي,1
98, رفع_اسعار_البنزين_والكهرباا استفزاز الشباب في هذي القرارات واضحه وينكم عن ترخيص المهور تبون نتبع الغرب بالاكتفاا بزوجه واحده ,2
99, الهلال_التعاون طيب لو فوزني تحكيم وش الي حارق رزكك يالفقراوي انت طلعت من المنافسه يعني تتعابع بصمت يالمسياري ,0
100, اليوم مهو يوم الهلال,2
101, برشلونه_روما كل شي حلو يشبه برشلونه ,1
102, لماذا_يا_خوله_العنزي هاه هاه قيدهن الا متبريه ومتعريه ,2
103, الانذار المبكر يحذر المدينه المنوره من عواصف رعديه وتعليم المدينه الى الان لاحس ولا خبر تعليق_الدراسه ,2
104,الف الف مبررووك للكتللان فوز مهم واستعراض كتلوني برشلونه_روما,1
105,مبروك لهلال وجماهير الكاس ولي العهد الهلال_الاهلي ,1
106, حمدلله والشكر على الفوز النصر_الاتحاد اداا رائع وتقارب خطوط وعوده الفريد من نوعه وقول شيا من العالمي قد عاد مبروك ,1
107, صحيح والله كم نعاني وخاصه وقت المشاهده او وقت البحوث انترنت_السعوديه_ضعيف,0
108, النصر_الاتحاد الا نبغاك ي ماعليك من بعض اعداا النجاع فوالله انك تثبت دائما انك شجاع وقدها وقدود ,1
109, تعليق_الدراسه_في_القصيم طب احنا عنا مطر له ساعتين ياخي عزام طلبتك اهل جده صح بكرا اوف بس عشان اخواني ,2
110, حصار_غزه_جريمه_اباده اللهم عليك بكل من حاصرهم ادخل الرعب في قلوبهم وجعلهم يتمنون الموت ولايجدونه,1
111,ملخص لاخر تطورات الوضع الميداني في محافظه تعز اليمن,2
112, تعليق_الدراسه_في_القصيم مجتمع عجيب يطالب بتعليق الدراسه ليلا ويخرج في الامطار نهارا ,2
113, كانت مباراه رائعه تميز فيها الاهلي قفل على الاظهره فكان الهلال بعيدا عن مستواه اراح دونيس الاهلي بعوده الفرج للخلف ال ,1
114, اذا لعب ناصر احسك تتمنى يخسر الهلال عشان بس تنتقد ناصر البخ وشف مين جالس يحترق بالملعب,0
115, روح القائد ودعمه لاعضاا مجموعته تجلت في هذه اللقطه انت صح ياقناص الهلال الهلال_هجر ,1
116, انترنت_السعوديه_ضعيف هذه مشكله الخليج عندما يدخل اصحاب البشوت الى مجال التقنيه هدفهم الربح فقط,0
117, الجنسيه الارهاب المنبع ايران الابواق حسن زميره الاذناب الحوثي والمالكي الضحيه الشعوب المغيبه النهايه ,0
118,افتكينا من لوجين البعرور تطلع لنا خوله الله يلعنكم يالبراليه والله اتحداها تقول اسمها كامل مو كل من ضيع اصله قال عنزي لماذا_يا_خوله_العنزي,0
119, الميزانيه_السعوديه الخطه الموضوعه لتغطيه العجز في الميزانيه الحاليه بالاقتراض الداخلي هي خطه استراتيجيه تحسب للقياده لت ,2
120, مبروك لجماهير الاهلي الراقي ويحظكم في العقيد عمر السومه الله يحفظه ليكم من شر الاصابات الاهلي_الرايد ,1
121,اهل القصيم ينفردون في الصداره 4 اجازه لهم تعليق_الدراسه_في_القصيم,2
122, هدف ياسر البلياردو هدف لن ننساه يارب يتكرر الليله الهلال_الشباب ,1
123,شوط ثالث من مباراه برشلونه_روما ,2
124,الكاتب الصحفي ماجد الاعور في تقرير من اليمن ,2
125,اهداف مباراه الاهلي_الرايد الاهلي الملكي,2
126, الهلال_الفتح المهنا عينا على مباراه الهلال بتوظيف احد زلايبه وحضورا لمباراه الاهلي ليقدم التبريكات لهم طبعا كلها تحت قياده عيد ,2
127,الهلال تعادل مع الفتح انتر انتر ,2
128,بعد الصعود الى الدور الخامس الراعي الجديد للنصر الهلال_هجر الاهلي_الرايد النصر_الاتحاد ,2
129, تعليق_الدراسه_في_القصيم تقل طالت ي جامعه_القصيم قولو اي او لا ,2
130, عاجل الشرطه البلجيكيه تعتقل المطلوب صلاح عبدالسلام المشتبه بتورطه في هجمات_باريس اعتدااات_باريس هجمات_باريس_الارهاب ,2
131, اللهم جمل اقدراهم ب جنه النعيم لكل شهيد وعجل ل احيااهم بالنصر القريب رجال_الحد_الجنوبي,1
132, تعليق_الدراسه_في_القصيم مدير الجامعه مافيها شي لو صرت تبع المدارس خل عنك التكبر وعلق ترا محد جاي جامعه_القصيم ,2
133, امين عام منظمه بدر هادي العامري يستنكر اقدام السلطات السعوديه على اعدام العالم والمرجع الديني الشيخ نمر باقر النمر ,2
134, رفع_اسعار_البنزين_والكهرباا و قرار هكذا سوف يزيد من الفجوه بين الفقراا و الاغنياا بشكل كبير لان مصاريف الوقود و الكهرباا ,0
135,شاهد استهداف العدوان مصنع مياه السلام بمحافظه صعده 18 11 2015 اليمن,2
136,روما ما يكفيه انها تطير دايم يحبها سبعاوي برشلونه_روما,2
137, يقوله ترا الدعيع اخذ مدليتك قال عندي غيرها كثير هههههههههههههه الله عليك الهلال يغنيك ,2
138,كاول قرار من نوعه جامعه سعوديه تعوض طلابها عن ايام تعليق_الدراسه بيومين اضافيين ,2
139,الهلال يسجل تعادل عن طريق الزوري الهلال_الفتح,2
140, فهد الصالح معوقات عديده ستعترض طريق قرار رسوم الاراضي رسوم_الاراضي_البيضاا ,2
141,احب الهلال ,1
142, في الليله الظلماا يفتقد البدر لا يسعنا الا ان نقول طبت حيا و ميتا رحمك الله ابا متعب الميزانيه_السعوديه,1
143, لا زعيم بحضره الملكي الف مبروك ي ملوك الهلال_الاهلي اللاعب_12 زووم ,1
144,الله يحفظه ويوفقه وينصره ويسدد خطاه ويعزه ذخر للاسلام والمسلمين ويرجعه لارض الوطن سالما سلمان_بن_عبدالعزيز ,1
145, حتى الفراشه اللي المفروض تكون رمز للجمال في السعوديه لونها بني ومغبره وتصفق في اللمبات تبي تموت من الضيم المي ,0
146,مباراتين الهلال الجايه بالقصيم ايبلاه ضاع الدوري,0
147, الميزانيه_السعوديه فجاه قفلت جميع محطات الوقود حسبنا الله ونعم الوكيل في التجار اللي لعبوا في الوطن والمواطن,0
148, تعليق_الدراسه_في_الرياض شكلنا وحنا حاطين الاخباريه تنتظر الشريط الاحمر انا وبدور ,2
149, قاسم_يهاجم_الملك_عبدالله دكتور بلا دكتوراه دكتور بلا حياا مقال ينسفه هلكوني ,0
150, رفع_اسعار_البنزين_والكهرباا ماهذه الطوابير عند محطات الوقود ,0
151,عاد الفيلسوف 15 النصر_الاتحاد ,1
152, يقدم نفسه رخيصه من اجل ان تعيش انت رجال_الحد_الجنوبي ,1
153, من افضل مهاجم محمد السهلاوي <U+25CF> النصر ريفاس <U+25CF> الاتحاد عمر السومه <U+25CF> الاهلي التون الميدا <U+25CF> الهلال,1
154, الدوله استمرت تدعم البنزين سنين طويله والان ترفع الدعم لتعيد السعر لسابق عهده بسبب عحز الميزانيه المعروف سببه رفع_اسعار_البنز ,0
155, السعوديه هيئه الاعلام المرئي لا صحه لما تم تدواله عن السماح_بالسينما_في_السعوديه ,2
156, تعليق_الدراسه_في_القصيم ماشااالله عليكم ياهل القصيم مبروك عليكم الويكندمبكرايعني جهزوالعزبه للبركشته وعلوم,1
157,حسبي الله وكفى والجامعات طيييب تعليق_الدراسه_في_القصيم,0
158, 2 صور من لقاا الاهلي Vs الرايد ضمن دوري عبداللطيف جميل تصوير_زياد_الحارثي زياد_الحارثي الاهلي_الرايد الملكي ,2
159, اووهه هلااالي اووهه هلااالي جمهووور يطرب قروب_لمه_احبه_للدعم الهلال رهف_العولقي ,1
160, صراحه هالحساب ما يستحي شوفوا التغريده المفروض النادي الاهلي يرفع عليهم قضيه لد ,0
161, تم الرفع للمقام السامي ماالذي تم رفعه المواطن اخر من يعلم رغم انه اول من يغرق بريده_تغرق محاسبه_امانه_القصيم,0
162, ياليت للقديمات العاطلات وربات البيوت والضمان الاجتماعي نصيب منها الميزانيه_السعوديه,2
163, كلمه_لشركات_الاتصالات للامانه نتهم جدا ممتاز و خدماتهم رائعه شكرا زين سوا موبايلي كلمه حق ولو قليله,1
164,عاجل قنبله مغربيه غير مسبوقه بخصوص هجمات باريس ,2
165, رفع_اسعار_البنزين_والكهرباا احسسسن خل الناس ينثبرون في بيوتهم ,1
166,يالله ياكريم ارزقني حظ الهلال,1
167, اوامر_ملكيه اسميها تخبطات لا حول الله,0
168, الهلال الف مبرو<U+0670>ك ي الزعيم بطو<U+0670>له 57 ,1
169,قدر الله وماشاا فعل الهلال اكبر من اي لاعب اي تقصير من اي لاعب يجب ان يحاسب بغض النظر عن اخطاا الحكم الكارثيه,0
170, حذف_قناه_العربيه_من_الريسيفر لكل قناه اجنده وتوجهات ولكن هذه القناه اجندتها عبريه وتوجهاتها محاربه الدين وخدمه كل اعداا هذه الامه,0
171, الهلال_هجر الف مبرووك ي شقرديه تعودنا عليه لازعلنا فرحنا بعدها ,1
172, اهلا بك اخي مهند تفضل الرابط التالي لخدمات الاجهزه شكرا طلال,2
173, سؤال قيمته مليون دينار كويتي لماذا لم تنشر الكويت اسماا وصور خليه حزب الله اسوه بخليه تنظيم داعش القبض_على_خليه_تنظيم_دا ,2
174, برشلونه_روما تتوقعون السابع يجي ,2
175,مبروووكك للهلال الهلال مع فلسقه دونيس ماله حل القادم افضل واجمل باذن الله الهلال_التعاون,1
176,المالكي يهاجم السعوديه بسبب اعدام النمر ,0
177, الهلال_التعاون الكل يعلم ان الظلم لن يستمر مهما طال والكل يعلم ان الظلم عواقبه وخيمه ي الهلال ,0
178, حقيقه اليوم الحكم سيا جدا اي احتاك بسيط يحتسبها فاول وفوقها ضربتين جزاا للاهلي لم تحتسب الاهلي_الرايد,0
179, لماذا_يا_خوله_العنزي بما ان بنو_ليبرال وبعض العفن المجتمعي متجمعين في ذا التاق لازم نجلطهم ب هذا الخبر ,0
180,الف مبروك الفوز مستوى ونتيجه هاردلك للمونديالي النصر_الاتحاد,1
181, 4 دونيس رفض ان ينفذ الميدا البلنتي لكن ياسر اصر على ان يكون منفذ البلنتي هو الميدا لاستعاده الثقه قائد الهلال_هجر ,1
182,قناعات مدرب الهلال دونيس في طريقه لعبه المريضه اهلكتنا خلتنا نفوز بصعوبه بدون راحه نفسيه لوضع الفريق لازم يغير قناعاته او يستقيل,0
183,توقعت قبل المباراه برشلونه_روما ,2
184,شلون نداوم تعليق_الدراسه_في_الرياض تعليق_الدراسه_يوم_الخميس ,2
185, الحشد_الشعبي البشمركه اسوا من داعش علي الاقل داعش مش لصوص,0
186,تعاطف نيمار مع روما لكن عاد ادريانو كريهه برشلونه_روما,0
187, قتل متعه الهلال دونيس ي فهد بتشكليته الخاطيه في كل مباراه,1
188,وقت التعليق يجنن مع الويكند بصيبكم بالعين تعليق_الدراسه_في_القصيم,2
189,وزيره خارجيه السويد تل ابيب وراا هجمات باريس Radio Sabra FM Tunisie ,2
190, حيدر العبادي يدين اعدام النمر في السعوديه,0
191, الصوره قديمه والدليل تحت المدرج شعار stc,2
192, اهالي شهركان ينطلقون في مسيره غاضبه احتجاجا على جريمه اعدام الشيخ النمر البحرين السعوديه ,0
193, رفع_اسعار_البنزين_والكهرباا _ هل ارتفاع البنزين سيدعم المملكه ام انه سيعيق المواطنين ماديا ,2
194, خلوكم بفريقكم وهمكم يالسادس والثامن التعاون الثالث والهلال متصدر ليش تحتكون في الكبار الهلال_التعاون,1
195, العبريه تلمع الشيعه والسنه تنسب لهم الارهاب حذف_قناه_العربيه_من_الريسيفر,0
196, الميراث المتنازع عليه كيف سيكون معالجته مع رسوم_الاراضي_البيضاا حتى لايتكلف الورثه من ارامل وقصر رسوما متراكمه لاذنب له ,2
197,نهايه مباراه الهلال والفتح بالتعادل,2
198, دخول افضل ثلاثي ف التاريخ ميسي سواريز نيمار برشلونه_روما ,1
199, برشلونه_روما نبي هاتريك ياليو ,2
200, حمله شرسه الان من الاعلامين الصفوي والداعشي على صفحاته الالكترونيه ضد السعوديه داعش منزعجه من اعدام نمر النمر وتهدد ,0
201, رسوم_الاراضي_البيضاا بلدنا اصبح ينخر فيه الفساد والنهب حتى اصبح الموضوع سمه طبيعيه لادين ولا حياا ولن يحاسب احد ,0
202,تعليق نجل الداعيه ديدات على هجمات باريس قال يوسف احمد ديدات ابن الداعيه المعروف الراحل ان فرنسا تحصد الان ما زرعته حكومتها واعلامها وذلك ,2
203,عجزت الابجديه عن وصفك يا ميسي برشلونه_روما,2
204, اوامر_ملكيه شيل وحط بالوزراا ,2
205,ابتاخر عن المدرسه والشبكه ابوووو الزفت الزفت ,0
206, مقتل المشتبه به الرئيسي في هجمات باريس في مداهمه للشرطه ,2
207, تعليق_الدراسه_في_القصيم ماحد فالها بذا البلد غير القصمان اجازات قروش مناصب ,0
208, اليمن تصريحات عسيري حول شراا المملكه صفقه ذخائر تحرج السلطات الامريكيه بعد ان كان الكونجرس ,2
209, عاجل تعليق_الدراسه_في_القصيم,2
210, سجلوها عندكم مفضله الهلال والفتح راح تنتهي بخساره الهلال او تعادل الا اذا حدث امر خارج عن نزاهه كره القدم فساد ,0
211,ترتيب الهدافين الهلال_هجر النصر_الاتحاد الاهلي_الرايد ,2
212, بعد جريمه اعدام الشيخ نمر النمر انطلق كلاب داخليه بن سلمان وبن نايف كالكلاب الهامله ينبحون على تويتر عواا الكلاب تعبير ,0
213,اي واحد انت فيهم هجر_الهلال الشباب الهلال_هجر الشباب_الفيصلي الاهلي_الرايد,1
214, هدف عزوز لسى عالق بببالي وصرخه بعد ماجاا الهدف شعور عظيم والله النصر_الاتحاد,1
215, اسوا خبر اليوم اعفاا عزام الدخيل عن التعليم التعليم يحتاج مثل هذا الرجل عزام_الدخيل اوامر_ملكيه,0
216, كلمه_لشركات_الاتصالات شكرا STC على العقد ,1
217,قلتها هذا الهلال وهذا حظه ,2
218,ليه م علقتو الا يوم ذاكرت lt lt حظي واعرفه م يعلقون الا يوم ذاكرت وخلصت تعليق_الدراسه_في_القصيم,2
219, الهلال ابطال كاس ولي العهد ,1
220, الحكومه السعوديه تحفر قبرها بيدها وتعجل نهايتها باعدام الشيخ النمر انور_رجا دمشق سوريا اعدام_الشيخ_النمر ,0
221, الصبح فرحه والمطر كله افراح وشلون لاجت فرحه الغيث بالصبح فتاه_تتعري_في_شركه_stc تعليق_الدراسه قرار_اتخذته_ماندمت_عليه,1
222, اللهم عليك بهم ,1
223, اتعبني الفرج في هذه المباراه حسبنا الله على من يريد ايقاف الهلال ظلما,0
224,يوم عرفت ان فهد المرداسي حكم الهلال والفتح غسلت ايدي فمن يذكر الغائه لهدف الفتح امام النصر بكاس الملك عام 2012 ,0
225, الاهلي_الرايد اذا كان دفع اللاعب وهو مرتقي للعب الكوره مو بلنتي اش هو البلنتي لا يعميكم التعصب,0
226, الميزانيه_السعوديه انخفاض حاد في الايرادات 608 مليار لهذا العام من نتائجه رفع الدعم ,2
227,مبرووووووك فوز الهلال والصدراه راح تبق للهلال الهلال_هجر,1
228,هجمات باريس تضغط على اليورو والذهب يعاود البروز ملاذا امنا ,1
229,سؤال للمصريين شجعتوا روما و برشلونه برشلونه_روما,2
230, تعليق_الدراسه_في_الرياض تم التاكيد على تعليق الدراسه في مدينه الرياض ليوم غد الخميس,2
231, اوامر_ملكيه الوطن بعدالله في يدسلمان الحزم وبايعناه على الطاعه والامانه وعاهدناعليهاوقراراته لمصلحتنانحن ابنااالوطن ,2
232, الهلال_الفتح دونيس الكلب مو كفووو يدرب الهلال,0
233, هذا البيان يعد تخوين للدوله وانشقاق علني وتزوير وتجيير لاراا الشعب الذي يؤيد نتف النمر,0
234, النت زي وجيهكم اللي ما حلاها ربي ,0
235,اتمنى من جامعه القصيم عدم تعليق الدراسه لان عندي اوف غدا وشكرا تعليق_الدراسه_في_القصيم,2
236,برشلونه بفوزه 6_1 علي روما قلب المواجع علي الزملكاويه برشلونه_روما,1
237, ظلم واضح وضوح الشمس للتعاون حسبي الله عليك يالتحكيم ولك الله ياتعاون الهلال_التعاون,0
238,مادري كيف بنوم وانا بها الفرحه بالفوز والمستوى الحمد لله على نعمه النصر النصر_الاتحاد,1
239, الهلال_الاهلي وضع العالميين حاليا ,2
240, الميزانيه_السعوديه فتحت المذياع وسمعت محللا اقتصاديا يهلل ويكبر ويقول انها ميزانيه تاريخيه وقرارتها تاريخيه افيدوني هل ما يقوله صحيحا ,2
